"year";"month";"temp";"prec"
"1881";"1";"-9,0";"28"
"1881";"2";"-3,8";"63"
"1881";"3";"-1,1";"232"
"1881";"4";"0,9";"58"
"1881";"5";"7,1";"73"
"1881";"6";"10,8";"117"
"1881";"7";"14,5";"112"
"1881";"8";"12,6";"164"
"1881";"9";"8,1";"108"
"1881";"10";"1,6";"80"
"1881";"11";"1,2";"34"
"1881";"12";"-2,5";"69"
"1882";"1";"-3,4";"30"
"1882";"2";"-3,1";"64"
"1882";"3";"1,8";"46"
"1882";"4";"3,0";"67"
"1882";"5";"7,6";"116"
"1882";"6";"9,8";"167"
"1882";"7";"12,3";"186"
"1882";"8";"10,4";"180"
"1882";"9";"9,2";"125"
"1882";"10";"5,6";"90"
"1882";"11";"0,4";"254"
"1882";"12";"-2,8";"232"
"1883";"1";"-4,1";"96"
"1883";"2";"-2,0";"43"
"1883";"3";"-5,8";"72"
"1883";"4";"1,1";"23"
"1883";"5";"8,2";"45"
"1883";"6";"11,9";"189"
"1883";"7";"12,4";"180"
"1883";"8";"11,6";"84"
"1883";"9";"9,8";"98"
"1883";"10";"4,7";"99"
"1883";"11";"0,2";"78"
"1883";"12";"-3,2";"185"
"1884";"1";"-1,1";"108"
"1884";"2";"-1,3";"38"
"1884";"3";"0,5";"36"
"1884";"4";"1,6";"34"
"1884";"5";"8,6";"69"
"1884";"6";"8,5";"244"
"1884";"7";"14,0";"128"
"1884";"8";"12,6";"125"
"1884";"9";"10,1";"64"
"1884";"10";"4,2";"208"
"1884";"11";"-2,2";"93"
"1884";"12";"-1,9";"136"
"1885";"1";"-7,0";"16"
"1885";"2";"-1,6";"29"
"1885";"3";"-1,5";"80"
"1885";"4";"5,3";"24"
"1885";"5";"6,0";"100"
"1885";"6";"13,0";"49"
"1885";"7";"13,3";"104"
"1885";"8";"11,0";"78"
"1885";"9";"9,5";"158"
"1885";"10";"4,2";"115"
"1885";"11";"-0,1";"172"
"1885";"12";"-4,1";"88"
"1886";"1";"-5,3";"57"
"1886";"2";"-5,9";"26"
"1886";"3";"-3,8";"96"
"1886";"4";"4,8";"55"
"1886";"5";"8,5";"68"
"1886";"6";"10,0";"210"
"1886";"7";"12,8";"111"
"1886";"8";"12,8";"133"
"1886";"9";"11,6";"81"
"1886";"10";"6,3";"65"
"1886";"11";"1,0";"57"
"1886";"12";"-2,4";"157"
"1887";"1";"-8,0";"7"
"1887";"2";"-5,5";"17"
"1887";"3";"-3,2";"118"
"1887";"4";"2,7";"35"
"1887";"5";"5,7";"149"
"1887";"6";"11,1";"42"
"1887";"7";"15,1";"134"
"1887";"8";"11,7";"84"
"1887";"9";"8,8";"68"
"1887";"10";"1,8";"44"
"1887";"11";"-0,7";"69"
"1887";"12";"-4,9";"117"
"1888";"1";"-6,1";"90"
"1888";"2";"-5,7";"120"
"1888";"3";"-2,6";"195"
"1888";"4";"1,5";"89"
"1888";"5";"8,3";"59"
"1888";"6";"12,0";"107"
"1888";"7";"10,6";"235"
"1888";"8";"11,1";"178"
"1888";"9";"9,0";"105"
"1888";"10";"2,9";"102"
"1888";"11";"-1,1";"85"
"1888";"12";"-3,1";"26"
"1889";"1";"-5,7";"47"
"1889";"2";"-6,5";"177"
"1889";"3";"-4,5";"103"
"1889";"4";"2,4";"63"
"1889";"5";"11,5";"72"
"1889";"6";"13,9";"128"
"1889";"7";"12,3";"124"
"1889";"8";"11,4";"113"
"1889";"9";"7,3";"159"
"1889";"10";"4,9";"98"
"1889";"11";"-1,1";"53"
"1889";"12";"-5,2";"58"
"1890";"1";"-1,6";"134"
"1890";"2";"-6,7";"8"
"1890";"3";"-0,1";"68"
"1890";"4";"2,8";"93"
"1890";"5";"9,5";"82"
"1890";"6";"9,5";"174"
"1890";"7";"11,5";"148"
"1890";"8";"13,0";"239"
"1890";"9";"9,0";"105"
"1890";"10";"3,4";"135"
"1890";"11";"-0,6";"169"
"1890";"12";"-7,7";"3"
"1891";"1";"-9,3";"109"
"1891";"2";"-6,8";"45"
"1891";"3";"-1,1";"110"
"1891";"4";"0,8";"87"
"1891";"5";"9,7";"72"
"1891";"6";"11,5";"138"
"1891";"7";"12,5";"175"
"1891";"8";"11,4";"124"
"1891";"9";"10,0";"76"
"1891";"10";"6,3";"48"
"1891";"11";"-1,9";"89"
"1891";"12";"-2,8";"194"
"1892";"1";"-4,7";"135"
"1892";"2";"-2,8";"139"
"1892";"3";"-3,2";"60"
"1892";"4";"3,1";"72"
"1892";"5";"8,0";"120"
"1892";"6";"12,2";"152"
"1892";"7";"12,3";"173"
"1892";"8";"14,6";"78"
"1892";"9";"10,5";"129"
"1892";"10";"4,4";"126"
"1892";"11";"-1,1";"40"
"1892";"12";"-6,7";"144"
"1893";"1";"-12,6";"121"
"1893";"2";"-2,5";"161"
"1893";"3";"0,0";"108"
"1893";"4";"4,3";"27"
"1893";"5";"7,8";"113"
"1893";"6";"11,8";"127"
"1893";"7";"13,5";"131"
"1893";"8";"12,9";"79"
"1893";"9";"9,6";"120"
"1893";"10";"6,2";"95"
"1893";"11";"-1,5";"98"
"1893";"12";"-4,4";"76"
"1894";"1";"-7,9";"50"
"1894";"2";"-2,4";"150"
"1894";"3";"0,4";"77"
"1894";"4";"5,7";"62"
"1894";"5";"7,9";"135"
"1894";"6";"10,4";"159"
"1894";"7";"13,9";"198"
"1894";"8";"12,2";"184"
"1894";"9";"8,2";"194"
"1894";"10";"5,3";"178"
"1894";"11";"0,7";"57"
"1894";"12";"-3,8";"157"
"1895";"1";"-8,6";"94"
"1895";"2";"-11,6";"53"
"1895";"3";"-3,1";"124"
"1895";"4";"3,1";"91"
"1895";"5";"7,0";"241"
"1895";"6";"11,2";"203"
"1895";"7";"13,4";"127"
"1895";"8";"11,4";"166"
"1895";"9";"11,6";"63"
"1895";"10";"3,7";"104"
"1895";"11";"1,0";"113"
"1895";"12";"-4,5";"193"
"1896";"1";"-6,6";"119"
"1896";"2";"-5,4";"43"
"1896";"3";"0,2";"156"
"1896";"4";"0,4";"147"
"1896";"5";"6,0";"90"
"1896";"6";"11,6";"198"
"1896";"7";"12,5";"116"
"1896";"8";"9,9";"179"
"1896";"9";"8,7";"82"
"1896";"10";"5,6";"39"
"1896";"11";"-2,0";"54"
"1896";"12";"-4,6";"71"
"1897";"1";"-5,8";"81"
"1897";"2";"-2,9";"145"
"1897";"3";"0,4";"145"
"1897";"4";"2,8";"88"
"1897";"5";"6,0";"167"
"1897";"6";"12,7";"139"
"1897";"7";"12,1";"309"
"1897";"8";"12,3";"162"
"1897";"9";"8,9";"149"
"1897";"10";"3,8";"45"
"1897";"11";"-1,6";"75"
"1897";"12";"-3,7";"76"
"1898";"1";"-1,9";"91"
"1898";"2";"-3,9";"157"
"1898";"3";"-0,4";"100"
"1898";"4";"3,6";"113"
"1898";"5";"8,0";"133"
"1898";"6";"10,5";"93"
"1898";"7";"10,6";"130"
"1898";"8";"13,9";"87"
"1898";"9";"9,7";"43"
"1898";"10";"6,2";"82"
"1898";"11";"1,5";"55"
"1898";"12";"-3,1";"119"
"1899";"1";"-2,4";"140"
"1899";"2";"-2,9";"60"
"1899";"3";"-1,9";"53"
"1899";"4";"2,7";"162"
"1899";"5";"6,6";"168"
"1899";"6";"10,8";"85"
"1899";"7";"12,3";"161"
"1899";"8";"11,6";"127"
"1899";"9";"8,5";"248"
"1899";"10";"4,2";"51"
"1899";"11";"1,1";"81"
"1899";"12";"-8,0";"101"
"1900";"1";"-3,5";"174"
"1900";"2";"-2,5";"119"
"1900";"3";"-4,4";"103"
"1900";"4";"0,9";"96"
"1900";"5";"6,5";"96"
"1900";"6";"11,8";"139"
"1900";"7";"13,8";"111"
"1900";"8";"11,9";"53"
"1900";"9";"10,5";"47"
"1900";"10";"4,6";"113"
"1900";"11";"1,3";"64"
"1900";"12";"-2,1";"151"
"1901";"1";"-7,0";"67"
"1901";"2";"-8,8";"60"
"1901";"3";"-1,4";"74"
"1901";"4";"3,7";"89"
"1901";"5";"8,8";"65"
"1901";"6";"12,3";"148"
"1901";"7";"13,9";"166"
"1901";"8";"12,0";"112"
"1901";"9";"10,1";"65"
"1901";"10";"6,0";"122"
"1901";"11";"-2,2";"96"
"1901";"12";"-2,8";"105"
"1902";"1";"-2,0";"231"
"1902";"2";"-3,1";"38"
"1902";"3";"-1,3";"159"
"1902";"4";"4,0";"56"
"1902";"5";"4,1";"184"
"1902";"6";"10,8";"145"
"1902";"7";"11,7";"164"
"1902";"8";"11,2";"120"
"1902";"9";"8,7";"80"
"1902";"10";"4,3";"83"
"1902";"11";"-1,9";"11"
"1902";"12";"-5,2";"209"
"1903";"1";"-4,2";"128"
"1903";"2";"-1,7";"54"
"1903";"3";"0,8";"45"
"1903";"4";"0,4";"115"
"1903";"5";"8,6";"60"
"1903";"6";"11,1";"48"
"1903";"7";"12,0";"243"
"1903";"8";"11,3";"176"
"1903";"9";"9,8";"62"
"1903";"10";"6,0";"129"
"1903";"11";"0,6";"178"
"1903";"12";"-4,9";"8"
"1904";"1";"-5,3";"73"
"1904";"2";"-2,7";"159"
"1904";"3";"0,3";"50"
"1904";"4";"4,8";"95"
"1904";"5";"8,0";"102"
"1904";"6";"11,8";"100"
"1904";"7";"14,7";"53"
"1904";"8";"12,5";"59"
"1904";"9";"8,1";"89"
"1904";"10";"5,1";"132"
"1904";"11";"-1,4";"84"
"1904";"12";"-2,9";"109"
"1905";"1";"-6,6";"137"
"1905";"2";"-3,2";"107"
"1905";"3";"-0,2";"148"
"1905";"4";"1,1";"113"
"1905";"5";"7,7";"63"
"1905";"6";"12,4";"75"
"1905";"7";"14,8";"94"
"1905";"8";"12,5";"133"
"1905";"9";"9,9";"81"
"1905";"10";"-0,1";"162"
"1905";"11";"-0,5";"117"
"1905";"12";"-3,5";"109"
"1906";"1";"-3,6";"105"
"1906";"2";"-4,5";"70"
"1906";"3";"-1,9";"161"
"1906";"4";"3,6";"61"
"1906";"5";"8,6";"113"
"1906";"6";"10,4";"141"
