"rcp";"gcm";"rcm";"year";"month";"temp";"prec"
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1951;1;-5,16808880527761;23,6886496550115
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1951;2;-1,18962668199484;70,3100862664012
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1951;3;2,93864807379999;91,86147749795
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1951;4;7,81877751528335;5,24756822074978
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1951;5;13,8158439866376;36,7068683312223
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1951;6;15,3753557321531;123,380818974289
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1951;7;15,8494589616687;52,8648981560286
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1951;8;19,7357416627407;42,9614158174004
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1951;9;13,2021664725612;71,5335302254225
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1951;10;8,45049954315062;55,6977637826485
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1951;11;2,79678999429715;90,9322152208759
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1951;12;1,69771287825243;46,4565784163675
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1952;1;-1,08741308418793;31,4749317591785
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1952;2;-3,55974296083999;38,2047561105445
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1952;3;3,55782121289615;108,295275969034
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1952;4;5,50613248700385;38,7571973576637
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1952;5;9,46534120981105;88,0268529500112
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1952;6;14,8901574049773;131,074793163453
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1952;7;15,814502200844;27,528097351621
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1952;8;19,3709992378912;87,8851096623708
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1952;9;13,4744821588403;47,7493135783445
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1952;10;8,01881336452184;83,302817561586
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1952;11;0,0527707173423184;38,8914142222969
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1952;12;2,44267236318782;17,3945071362515
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1953;1;0,763140382487709;48,677679547676
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1953;2;-3,90852608091096;3,7861863453315
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1953;3;1,55162964685716;23,7018453822806
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1953;4;7,36132962535346;34,6590659643672
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1953;5;9,4347377136032;62,0654657405778
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1953;6;12,9967699642103;92,5960963456869
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1953;7;16,3652905540683;56,2407917914855
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1953;8;15,381967947626;112,208963128655
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1953;9;10,9751392207342;19,9026707462091
"RCP_26";"ICHEC-EC-EARTH_r12i1p1";"CLMcom-CCLM4-8-17";1953;10;7,08550243413625;55,0214735377778
